Source Line,Source,CPU_CLK_UNHALTED.THREAD_ANY,OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_UOPS_RETIRED.ALL_STORES,MEM_UOPS_RETIRED.ALL_STORES_PS,CPU_CLK_UNHALTED.THREAD_ANY,CPU_CLK_UNHALTED.REF_TSC,CYCLE_ACTIVITY.STALLS_L1D_PENDING,OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,L2_RQSTS.MISS,MISALIGN_MEM_REF.LOADS,MISALIGN_MEM_REF.STORES,CYCLE_ACTIVITY.STALLS_LDM_PENDING,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,RESOURCE_STALLS.SB,RS_EVENTS.EMPTY_CYCLES,UOPS_RETIRED.ALL,UOPS_RETIRED.RETIRE_SLOTS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_UOPS_RETIRED.ALL_STORES,MEM_UOPS_RETIRED.ALL_STORES_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS
141,"    DO l=z_min-2,z_max+2",4000006,0,20000030,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"      DO k=y_min-2,y_max+2",48000072,0,30000045,20000030,0,20000030,0,0,250105,0,0,0,0,15000045,10000015,0,24,7,1,0,3,2,1,0,0,1,0,2,0,0,0,4,1,0,1,0,0,0,0,3,1,0,1,0,0,0,0
143,"        DO j=x_min-2,x_max+2",334000501,0,160000240,150000225,0,0,0,0,0,1000420,0,0,0,0,10000015,0,167,76,9,0,16,15,10,0,0,12,0,0,0,3,4,30,29,0,0,4,0,0,0,0,1,0,0,0,0,0,0
144,"          post_vol(j,k,l)=volume(j,k,l) +vol_flux_z(j  ,k  ,l+1)-vol_flux_z(j,k,l)",31058046587,0,27740041610,26870040305,34001020,2540003810,126003780,62501875,65277405,30762915,46002760,22000660,26501590,4120012360,820001230,1134017010,15529,9509,2636,0,2774,2687,807,0,0,2635,68,254,252,240,96,975,730,125,261,123,184,44,106,824,82,1134,261,184,105,252,68
145,"          pre_vol(j,k,l)=post_vol(j,k,l)+vol_flux_y(j  ,k+1,l  )-vol_flux_y(j,k,l)",15654023481,0,13310019965,11750017625,13500405,2120003180,48001440,14000420,27011340,17257245,9250555,15000450,12250735,2070006210,430000645,94001410,7827,4659,1128,0,1331,1175,384,0,0,1131,27,212,96,278,221,527,369,28,108,69,37,30,49,414,43,94,108,37,49,96,26
146,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152, iter=(z_max-z_min+1+4)*(y_max-y_min+1+4)*(x_max-x_min+1+4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153, tmpFlop=iter*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154, tmpMem=iter*8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155, !$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,  ELSEIF(sweep_number.EQ.2.AND..NOT.advect_x)THEN ! Z first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"    DO l=z_min-2,z_max+2",4000006,0,0,0,0,0,500015,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,"      DO k=y_min-2,y_max+2",20000030,0,10000015,10000015,0,20000030,0,0,250105,0,0,500015,0,35000105,0,0,10,12,1,0,1,1,1,0,0,2,0,2,0,0,0,3,1,0,1,0,0,1,0,7,0,0,1,0,0,0,0
162,"        DO j=x_min-2,x_max+2",326000489,0,160000240,80000120,0,0,0,0,0,250105,0,500015,0,10000030,20000030,0,163,83,8,0,16,8,12,0,0,12,0,0,0,2,11,38,14,0,0,1,0,1,0,2,2,0,0,0,0,0,0
163,"          post_vol(j,k,l)=volume(j,k,l) +vol_flux_x(j+1,k  ,l  )-vol_flux_x(j,k,l)",28966043449,0,25150037725,24250036375,21000630,2450003675,71002130,33501005,41017220,13505670,17001020,26000780,20251215,3625010875,780001170,1134017010,14483,8946,2416,0,2515,2425,624,0,0,2445,42,245,142,262,130,933,714,67,164,54,68,52,81,725,78,1134,163,68,81,142,42
164,"          pre_vol(j,k,l)=post_vol(j,k,l)+vol_flux_y(j  ,k+1,l  )-vol_flux_y(j,k,l)",17104025656,0,14220021330,12560018840,8000240,1840002760,29500885,11000330,14506090,11254725,7500450,8000240,9250555,2355007065,390000585,125001875,8552,4969,1129,0,1422,1256,366,0,0,1158,16,184,59,371,288,582,407,22,58,45,30,16,37,471,39,125,58,30,37,59,16
165,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,  iter=(z_max-z_min+1+4)*(y_max-y_min+1+4)*(x_max-x_min+1+4),2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,  tmpFlop=iter*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,  tmpMem=iter*8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,  ELSEIF(sweep_number.EQ.3.AND.direction.EQ.1)THEN ! z first,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"    DO l=z_min-2,z_max+2",4000006,0,10000015,20000030,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"      DO k=y_min-2,y_max+2",38000057,0,10000015,10000015,500015,20000030,0,0,250105,0,0,0,0,20000060,10000015,0,19,13,1,0,1,1,1,0,0,6,1,2,0,0,1,0,1,0,1,0,0,0,0,4,1,0,1,0,0,0,1
180,"        DO j=x_min-2,x_max+2",406000609,0,240000360,140000210,0,20000030,0,0,0,0,0,500015,0,10000030,40000060,0,203,139,7,0,24,14,7,0,0,19,0,2,0,9,9,29,19,0,0,0,0,1,0,2,4,0,0,0,0,0,0
181,"          post_vol(j,k,l)=volume(j,k,l)",11880017820,0,10670016005,9720014580,18000540,940001410,46001380,17000510,21509030,3501470,7500450,9500285,17751065,1820005460,360000540,1017015255,5940,3539,928,0,1067,972,249,0,0,947,36,94,92,328,158,314,204,34,86,14,30,19,71,364,36,1017,86,30,71,92,36
182,"          pre_vol(j,k,l)=post_vol(j,k,l)+vol_flux_x(j+1,k  ,l  )-vol_flux_x(j,k,l)",27024040536,0,23800035700,20150030225,14500435,1250001875,28500855,14000420,18257665,12255145,9250555,15000450,14500870,1925005775,880001320,251003765,13512,8155,1835,0,2380,2015,542,0,0,1869,29,125,57,920,502,689,465,28,73,49,37,30,58,385,88,251,72,37,57,57,28
183,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,  iter=(z_max-z_min+1+4)*(y_max-y_min+1+4)*(x_max-x_min+1+4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,  tmpFlop=iter*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,  tmpMem=iter*6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,  ELSEIF(sweep_number.EQ.3.AND.direction.EQ.3)THEN ! x first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"    DO l=z_min-2,z_max+2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,"      DO k=y_min-2,y_max+2",34000051,0,40000060,10000015,0,20000030,0,0,250105,0,0,0,0,20000060,0,0,17,8,1,0,4,1,1,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0
198,"        DO j=x_min-2,x_max+2",414000621,0,350000525,250000375,0,0,0,0,0,500210,0,1500045,0,5000015,40000060,0,207,127,12,0,35,25,18,0,0,16,0,0,0,15,11,26,21,0,0,2,0,3,0,1,4,0,0,0,0,0,0
199,"          post_vol(j,k,l)=volume(j,k,l)",9396014094,0,8750013125,7830011745,20000600,890001335,45501365,11500345,39016380,14255985,13000780,11500345,18751125,1740005220,270000405,936014040,4698,2912,801,0,875,783,274,0,0,756,40,89,91,246,92,239,165,23,156,57,52,23,75,348,27,936,156,52,75,91,40
200,"          pre_vol(j,k,l)=post_vol(j,k,l)+vol_flux_z(j  ,k  ,l+1)-vol_flux_z(j,k,l)",30002045003,0,25850038775,23370035055,20500615,1280001920,102003060,47501425,58274465,31513230,41502490,27500825,21001260,2040006120,930001395,298004470,15001,8996,2159,0,2585,2337,731,0,0,2184,41,128,204,1022,437,748,518,95,233,126,166,55,84,408,93,298,233,164,83,204,41
201,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,  iter=(z_max-z_min+1+4)*(y_max-y_min+1+4)*(x_max-x_min+1+4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,  tmpFlop=iter*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,  tmpMem=iter*6,2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,  ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,  !$OMP MASTER,2000003,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,  flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,  mem=mem+tmpMem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,  tmpFlop=0  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,  tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,  !$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,!----------------------------------- PRE and POST Volume calculation complete ----------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,  IF(direction.EQ.1)THEN,18000027,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,    IF(which_vel.EQ.1) THEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,!$OMP DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,"      DO l=z_min,z_max+1",0,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,"        DO k=y_min,y_max+1",16000024,0,20000030,10000015,0,30000045,0,0,0,0,0,0,0,45000135,0,0,8,4,0,0,2,1,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
231,"          DO j=x_min-2,x_max+2",192000288,0,40000060,50000075,0,0,0,0,0,500210,0,1500045,0,0,0,0,96,39,7,0,4,5,10,0,0,0,0,0,0,0,2,47,33,0,0,2,0,3,0,0,0,0,0,0,0,0,0
232,"            ! Find staggered mesh mass fluxes, nodal masses and volumes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"            node_flux(j,k,l)=0.125_8*(mass_flux_x(j  ,k-1,l  )+mass_flux_x(j  ,k,l  )  &",7576011364,0,5640008460,5540008310,500015,1970002955,10000300,6000180,4251785,1750735,3000180,500015,1750105,2125006375,200000300,410006150,3788,2292,536,0,564,554,150,0,0,545,1,197,20,5,5,618,421,12,17,7,12,1,7,425,20,410,17,12,7,20,1
234,"                                     +mass_flux_x(j+1,k-1,l  )+mass_flux_x(j+1,k,l  )  &",2730004095,0,1920002880,1870002805,0,590000885,3000090,2000060,1750735,500210,1500090,1000030,1250075,905002715,70000105,0,1365,811,197,0,192,187,65,0,0,197,0,59,6,0,3,267,195,4,7,2,6,2,5,181,7,0,7,6,5,6,0
235,"                                     +mass_flux_x(j  ,k-1,l-1)+mass_flux_x(j  ,k,l-1)  &",1120001680,0,640000960,670001005,0,1270001905,9000270,4500135,2000840,500210,2250135,0,0,1055003165,60000090,1000015,560,366,55,0,64,67,42,0,0,70,0,127,18,2,3,181,153,9,8,2,9,0,0,211,6,1,8,9,0,18,0
236,"                                     +mass_flux_x(j+1,k-1,l-1)+mass_flux_x(j+1,k,l-1))",1208001812,0,590000885,230000345,500015,1580002370,4500135,2000060,750315,1250525,750045,500015,0,1725005175,70000105,0,604,348,40,0,59,23,51,0,0,45,1,158,9,0,4,244,209,4,3,5,3,1,0,345,7,0,3,3,0,9,1
237,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,  iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+1+4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,  tmpFlop=iter*8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,  tmpMem=iter*9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,   flop=flop+tmpFlop !sc 27664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,   mem=mem+tmpMem,0,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,   tmpFlop=0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,   tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"!And do I need to calc the node mass for all 3 directions, or just once?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"      DO l=z_min,z_max+1",4000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,"        DO k=y_min,y_max+1",34000051,0,0,20000030,0,80000120,0,0,0,0,0,0,250015,90000270,0,0,17,6,1,0,0,2,1,0,0,2,0,8,0,0,0,4,2,0,0,0,0,0,1,18,0,0,0,0,1,0,0
256,"          DO j=x_min-1,x_max+2",532000798,0,120000180,120000180,0,20000030,0,0,0,1000420,0,0,0,15000045,30000045,0,266,172,6,0,12,12,32,0,0,13,0,2,0,0,2,87,53,0,0,4,0,0,0,3,3,0,0,0,0,0,0
257,            ! Staggered cell mass post advection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"            node_mass_post(j,k,l)=0.125_8*(density1(j  ,k-1,l  )*post_vol(j  ,k-1,l  )                   &",4620006930,0,2340003510,2280003420,0,6980010470,500015,0,500210,750315,500030,1000030,250015,7215021645,120000180,351005265,2310,1393,232,0,234,228,168,0,0,218,0,698,1,0,5,669,571,0,2,3,2,2,1,1443,12,351,2,1,1,1,0
259,"                                          +density1(j  ,k  ,l  )*post_vol(j  ,k  ,l  )                   &",7468011202,0,6300009450,6240009360,2000060,100000150,11000330,5000150,5252205,1500630,3000180,500015,3000180,325000975,40000060,0,3734,2223,641,0,630,624,126,0,0,613,4,10,22,0,3,303,250,10,21,6,12,1,12,65,4,0,21,12,11,22,4
260,"                                          +density1(j-1,k-1,l  )*post_vol(j-1,k-1,l  )                   &",1002001503,0,390000585,250000375,500015,1560002340,0,0,0,250105,0,0,250015,1200003600,140000210,0,501,316,20,0,39,25,52,0,0,28,1,156,0,0,1,211,171,0,0,1,0,0,1,240,14,0,0,0,1,0,1
261,"                                          +density1(j-1,k  ,l  )*post_vol(j-1,k  ,l  )                   &",554000831,0,150000225,80000120,0,850001275,0,0,250105,750315,0,500015,0,870002610,30000045,0,277,174,7,0,15,8,25,0,0,11,0,85,0,0,0,157,122,0,1,3,0,1,0,174,3,0,1,0,0,0,0
262,"                                          +density1(j  ,k-1,l-1)*post_vol(j  ,k-1,l-1)                   &",896001344,0,120000180,120000180,500015,800001200,0,0,250105,1250525,250015,1000030,0,740002220,20000030,0,448,264,6,0,12,12,40,0,0,15,1,80,0,0,1,327,190,0,1,5,1,2,0,148,2,0,1,1,0,0,1
263,"                                          +density1(j  ,k  ,l-1)*post_vol(j  ,k  ,l-1)                   &",1748002622,0,1250001875,1170001755,500015,500000750,12500375,4500135,6002520,1250525,3250195,0,750045,420001260,0,0,874,564,103,0,125,117,48,0,0,107,1,50,25,0,3,216,132,9,24,5,13,0,3,84,0,0,24,13,3,25,1
264,"                                          +density1(j-1,k-1,l-1)*post_vol(j-1,k-1,l-1)                   &",1216001824,0,170000255,110000165,0,450000675,0,0,0,250105,0,0,0,475001425,20000030,0,608,348,12,0,17,11,81,0,0,21,0,45,0,0,1,396,300,0,0,1,0,0,0,95,2,0,0,0,0,0,0
265,"                                          +density1(j-1,k  ,l-1)*post_vol(j-1,k  ,l-1))",730001095,0,160000240,170000255,0,530000795,0,0,0,250105,250015,0,0,490001470,60000090,0,365,229,17,0,16,17,42,0,0,14,0,53,0,0,2,261,186,0,0,1,1,0,0,98,6,0,0,1,0,0,0
266,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,      iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+1+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,      tmpFlop=iter*16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,      tmpMem=iter*17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,      flop=flop+tmpFlop !sc 48464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,      mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,      tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,      tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,"      DO l=z_min,z_max+1",0,0,0,0,0,0,0,0,250105,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
